transfer_id,transfer_date,scheduled_date,car_id,from_compound_id,to_compound_id,distance_km,truck_id,cars_per_truck,truck_fill_rate,cost_eur,reason,lead_time_days
TRF_000029,2024-01-08,2024-01-06,CAR_0001568,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00010,3,0.38,103.55,demand_rebalancing,2
TRF_000030,2024-01-08,2024-01-06,CAR_0001569,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00010,3,0.38,103.55,demand_rebalancing,2
TRF_000031,2024-01-08,2024-01-06,CAR_0001570,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00010,3,0.38,103.55,demand_rebalancing,2
TRF_000032,2024-01-08,2024-01-07,CAR_0001598,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00011,2,0.25,56.33,demand_rebalancing,1
TRF_000033,2024-01-08,2024-01-07,CAR_0001599,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00011,2,0.25,56.33,demand_rebalancing,1
TRF_000034,2024-01-10,2024-01-08,CAR_0001993,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000035,2024-01-10,2024-01-08,CAR_0001994,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000036,2024-01-10,2024-01-08,CAR_0001995,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000037,2024-01-10,2024-01-08,CAR_0001996,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000038,2024-01-10,2024-01-08,CAR_0001997,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000039,2024-01-10,2024-01-08,CAR_0001998,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00016,6,0.75,50.31,demand_rebalancing,2
TRF_000040,2024-01-10,2024-01-08,CAR_0002148,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00015,4,0.5,77.66,demand_rebalancing,2
TRF_000041,2024-01-10,2024-01-08,CAR_0002149,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00015,4,0.5,77.66,demand_rebalancing,2
TRF_000042,2024-01-10,2024-01-08,CAR_0002150,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00015,4,0.5,77.66,demand_rebalancing,2
TRF_000043,2024-01-10,2024-01-08,CAR_0002151,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00015,4,0.5,77.66,demand_rebalancing,2
TRF_000044,2024-01-10,2024-01-08,CAR_0002195,CPD_BREMEN_01,CPD_DUSSELDORF_01,322,TRUCK_00014,1,0.12,222.1,remarketing_routing,2
TRF_000045,2024-01-10,2024-01-08,CAR_0002241,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00013,2,0.25,113.8,repair_routing,2
TRF_000046,2024-01-10,2024-01-08,CAR_0002242,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00013,2,0.25,113.8,repair_routing,2
TRF_000047,2024-01-11,2024-01-09,CAR_0002455,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00017,2,0.25,155.33,demand_rebalancing,2
TRF_000048,2024-01-11,2024-01-09,CAR_0002456,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00017,2,0.25,155.33,demand_rebalancing,2
TRF_000049,2024-01-11,2024-01-10,CAR_0002495,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00018,2,0.25,56.33,demand_rebalancing,1
TRF_000050,2024-01-11,2024-01-10,CAR_0002496,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00018,2,0.25,56.33,demand_rebalancing,1
TRF_000051,2024-01-12,2024-01-11,CAR_0002690,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00020,3,0.38,23.25,repair_routing,1
TRF_000052,2024-01-12,2024-01-11,CAR_0002691,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00020,3,0.38,23.25,repair_routing,1
TRF_000053,2024-01-12,2024-01-11,CAR_0002692,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00020,3,0.38,23.25,repair_routing,1
TRF_000054,2024-01-12,2024-01-10,CAR_0002798,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00019,3,0.38,75.87,repair_routing,2
TRF_000055,2024-01-12,2024-01-10,CAR_0002799,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00019,3,0.38,75.87,repair_routing,2
TRF_000056,2024-01-12,2024-01-10,CAR_0002800,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00019,3,0.38,75.87,repair_routing,2
TRF_000057,2024-01-15,2024-01-14,CAR_0003004,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00022,2,0.25,24.7,repair_routing,1
TRF_000058,2024-01-15,2024-01-14,CAR_0003005,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00022,2,0.25,24.7,repair_routing,1
TRF_000059,2024-01-15,2024-01-14,CAR_0003171,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000060,2024-01-15,2024-01-14,CAR_0003172,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000061,2024-01-15,2024-01-14,CAR_0003173,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000062,2024-01-15,2024-01-14,CAR_0003174,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000063,2024-01-15,2024-01-14,CAR_0003175,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000064,2024-01-15,2024-01-14,CAR_0003176,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000065,2024-01-15,2024-01-14,CAR_0003177,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00021,7,0.88,16.09,demand_rebalancing,1
TRF_000066,2024-01-16,2024-01-14,CAR_0003311,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000067,2024-01-16,2024-01-14,CAR_0003312,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000068,2024-01-16,2024-01-14,CAR_0003313,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000069,2024-01-16,2024-01-14,CAR_0003314,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000070,2024-01-16,2024-01-14,CAR_0003315,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000071,2024-01-16,2024-01-14,CAR_0003316,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000072,2024-01-16,2024-01-14,CAR_0003317,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000073,2024-01-16,2024-01-14,CAR_0003318,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00025,8,1.0,37.73,capacity_overflow,2
TRF_000074,2024-01-16,2024-01-14,CAR_0003319,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00026,3,0.38,100.62,capacity_overflow,2
TRF_000075,2024-01-16,2024-01-14,CAR_0003320,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00026,3,0.38,100.62,capacity_overflow,2
TRF_000076,2024-01-16,2024-01-14,CAR_0003321,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00026,3,0.38,100.62,capacity_overflow,2
TRF_000077,2024-01-16,2024-01-14,CAR_0003538,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00024,2,0.25,157.25,demand_rebalancing,2
TRF_000078,2024-01-16,2024-01-14,CAR_0003539,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00024,2,0.25,157.25,demand_rebalancing,2
TRF_000079,2024-01-16,2024-01-14,CAR_0003575,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00023,4,0.5,56.9,repair_routing,2
TRF_000080,2024-01-16,2024-01-14,CAR_0003576,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00023,4,0.5,56.9,repair_routing,2
TRF_000081,2024-01-16,2024-01-14,CAR_0003577,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00023,4,0.5,56.9,repair_routing,2
TRF_000082,2024-01-16,2024-01-14,CAR_0003578,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00023,4,0.5,56.9,repair_routing,2
TRF_000083,2024-01-17,2024-01-15,CAR_0003786,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00028,4,0.5,77.66,demand_rebalancing,2
TRF_000084,2024-01-17,2024-01-15,CAR_0003787,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00028,4,0.5,77.66,demand_rebalancing,2
TRF_000085,2024-01-17,2024-01-15,CAR_0003788,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00028,4,0.5,77.66,demand_rebalancing,2
TRF_000086,2024-01-17,2024-01-15,CAR_0003789,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00028,4,0.5,77.66,demand_rebalancing,2
TRF_000087,2024-01-17,2024-01-15,CAR_0003814,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000088,2024-01-17,2024-01-15,CAR_0003815,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000089,2024-01-17,2024-01-15,CAR_0003816,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000090,2024-01-17,2024-01-15,CAR_0003817,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000091,2024-01-17,2024-01-15,CAR_0003818,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000092,2024-01-17,2024-01-15,CAR_0003819,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00029,6,0.75,52.42,demand_rebalancing,2
TRF_000093,2024-01-17,2024-01-15,CAR_0003885,CPD_DRESDEN_01,CPD_NUREMBERG_01,337,TRUCK_00027,1,0.12,230.35,remarketing_routing,2
TRF_000094,2024-01-18,2024-01-17,CAR_0003954,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00031,1,0.12,49.4,remarketing_routing,1
TRF_000095,2024-01-18,2024-01-16,CAR_0004089,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00030,3,0.38,103.55,demand_rebalancing,2
TRF_000096,2024-01-18,2024-01-16,CAR_0004090,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00030,3,0.38,103.55,demand_rebalancing,2
TRF_000097,2024-01-18,2024-01-16,CAR_0004091,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00030,3,0.38,103.55,demand_rebalancing,2
TRF_000098,2024-01-19,2024-01-18,CAR_0004342,CPD_COLOGNE_01,CPD_DUSSELDORF_01,45,TRUCK_00032,1,0.12,69.75,remarketing_routing,1
TRF_000099,2024-01-19,2024-01-17,CAR_0004434,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00034,2,0.25,157.25,demand_rebalancing,2
TRF_000100,2024-01-19,2024-01-17,CAR_0004435,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00034,2,0.25,157.25,demand_rebalancing,2
TRF_000101,2024-01-19,2024-01-17,CAR_0004501,CPD_DRESDEN_01,CPD_NUREMBERG_01,337,TRUCK_00033,1,0.12,230.35,remarketing_routing,2
TRF_000102,2024-01-22,2024-01-20,CAR_0004921,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00035,5,0.62,60.37,repair_routing,2
TRF_000103,2024-01-22,2024-01-20,CAR_0004922,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00035,5,0.62,60.37,repair_routing,2
TRF_000104,2024-01-22,2024-01-20,CAR_0004923,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00035,5,0.62,60.37,repair_routing,2
TRF_000105,2024-01-22,2024-01-20,CAR_0004924,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00035,5,0.62,60.37,repair_routing,2
TRF_000106,2024-01-22,2024-01-20,CAR_0004925,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00035,5,0.62,60.37,repair_routing,2
TRF_000107,2024-01-23,2024-01-21,CAR_0005000,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000108,2024-01-23,2024-01-21,CAR_0005001,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000109,2024-01-23,2024-01-21,CAR_0005002,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000110,2024-01-23,2024-01-21,CAR_0005003,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000111,2024-01-23,2024-01-21,CAR_0005004,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000112,2024-01-23,2024-01-21,CAR_0005005,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00037,6,0.75,50.31,capacity_overflow,2
TRF_000113,2024-01-23,2024-01-21,CAR_0005006,CPD_MUNICH_01,CPD_STUTTGART_01,248,TRUCK_00038,1,0.12,181.4,remarketing_routing,2
TRF_000114,2024-01-23,2024-01-21,CAR_0005254,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00036,4,0.5,56.9,repair_routing,2
TRF_000115,2024-01-23,2024-01-21,CAR_0005255,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00036,4,0.5,56.9,repair_routing,2
TRF_000116,2024-01-23,2024-01-21,CAR_0005256,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00036,4,0.5,56.9,repair_routing,2
TRF_000117,2024-01-23,2024-01-21,CAR_0005257,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00036,4,0.5,56.9,repair_routing,2
TRF_000118,2024-01-24,2024-01-23,CAR_0005417,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00039,4,0.5,17.44,repair_routing,1
TRF_000119,2024-01-24,2024-01-23,CAR_0005418,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00039,4,0.5,17.44,repair_routing,1
TRF_000120,2024-01-24,2024-01-23,CAR_0005419,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00039,4,0.5,17.44,repair_routing,1
TRF_000121,2024-01-24,2024-01-23,CAR_0005420,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00039,4,0.5,17.44,repair_routing,1
TRF_000122,2024-01-26,2024-01-25,CAR_0006012,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00040,4,0.5,17.44,repair_routing,1
TRF_000123,2024-01-26,2024-01-25,CAR_0006013,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00040,4,0.5,17.44,repair_routing,1
TRF_000124,2024-01-26,2024-01-25,CAR_0006014,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00040,4,0.5,17.44,repair_routing,1
TRF_000125,2024-01-26,2024-01-25,CAR_0006015,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00040,4,0.5,17.44,repair_routing,1
TRF_000126,2024-01-26,2024-01-24,CAR_0006056,CPD_FRANKFURT_01,CPD_BREMEN_01,429,TRUCK_00041,2,0.25,140.48,demand_rebalancing,2
TRF_000127,2024-01-26,2024-01-24,CAR_0006057,CPD_FRANKFURT_01,CPD_BREMEN_01,429,TRUCK_00041,2,0.25,140.48,demand_rebalancing,2
TRF_000128,2024-01-30,2024-01-29,CAR_0006686,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00042,4,0.5,12.35,repair_routing,1
TRF_000129,2024-01-30,2024-01-29,CAR_0006687,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00042,4,0.5,12.35,repair_routing,1
TRF_000130,2024-01-30,2024-01-29,CAR_0006688,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00042,4,0.5,12.35,repair_routing,1
TRF_000131,2024-01-30,2024-01-29,CAR_0006689,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00042,4,0.5,12.35,repair_routing,1
TRF_000132,2024-02-05,2024-02-03,CAR_0008096,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00044,5,0.62,60.37,capacity_overflow,2
TRF_000133,2024-02-05,2024-02-03,CAR_0008097,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00044,5,0.62,60.37,capacity_overflow,2
TRF_000134,2024-02-05,2024-02-03,CAR_0008098,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00044,5,0.62,60.37,capacity_overflow,2
TRF_000135,2024-02-05,2024-02-03,CAR_0008099,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00044,5,0.62,60.37,capacity_overflow,2
TRF_000136,2024-02-05,2024-02-03,CAR_0008100,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00044,5,0.62,60.37,capacity_overflow,2
TRF_000137,2024-02-05,2024-02-04,CAR_0008113,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00045,3,0.38,16.47,repair_routing,1
TRF_000138,2024-02-05,2024-02-04,CAR_0008114,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00045,3,0.38,16.47,repair_routing,1
TRF_000139,2024-02-05,2024-02-04,CAR_0008115,CPD_MUNICH_02,CPD_MUNICH_01,8,TRUCK_00045,3,0.38,16.47,repair_routing,1
TRF_000140,2024-02-05,2024-02-03,CAR_0008286,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000141,2024-02-05,2024-02-03,CAR_0008287,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000142,2024-02-05,2024-02-03,CAR_0008288,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000143,2024-02-05,2024-02-03,CAR_0008289,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000144,2024-02-05,2024-02-03,CAR_0008290,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000145,2024-02-05,2024-02-03,CAR_0008291,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000146,2024-02-05,2024-02-03,CAR_0008292,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000147,2024-02-05,2024-02-03,CAR_0008293,CPD_HAMBURG_01,CPD_DRESDEN_01,490,TRUCK_00043,8,1.0,39.31,demand_rebalancing,2
TRF_000148,2024-02-07,2024-02-05,CAR_0009042,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00046,5,0.62,60.37,repair_routing,2
TRF_000149,2024-02-07,2024-02-05,CAR_0009043,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00046,5,0.62,60.37,repair_routing,2
TRF_000150,2024-02-07,2024-02-05,CAR_0009044,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00046,5,0.62,60.37,repair_routing,2
TRF_000151,2024-02-07,2024-02-05,CAR_0009045,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00046,5,0.62,60.37,repair_routing,2
TRF_000152,2024-02-07,2024-02-05,CAR_0009046,CPD_DRESDEN_01,CPD_MUNICH_01,467,TRUCK_00046,5,0.62,60.37,repair_routing,2
TRF_000153,2024-02-08,2024-02-05,CAR_0009128,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000154,2024-02-08,2024-02-05,CAR_0009129,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000155,2024-02-08,2024-02-05,CAR_0009130,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000156,2024-02-08,2024-02-05,CAR_0009131,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000157,2024-02-08,2024-02-05,CAR_0009132,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000158,2024-02-08,2024-02-05,CAR_0009133,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000159,2024-02-08,2024-02-05,CAR_0009134,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000160,2024-02-08,2024-02-05,CAR_0009135,CPD_MUNICH_01,CPD_BREMEN_01,759,TRUCK_00049,8,1.0,57.81,capacity_overflow,3
TRF_000161,2024-02-08,2024-02-07,CAR_0009259,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00048,3,0.38,23.25,repair_routing,1
TRF_000162,2024-02-08,2024-02-07,CAR_0009260,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00048,3,0.38,23.25,repair_routing,1
